Time;Size1;Count1 (TC);Size2;Count2 (TC);Size3;Count3 (TC);Size4;Count4 (TC);Size5;Count5 (TC);Size6;Count6 (TC);AT (C);RH (%);Location;Seconds;A1Size;A2Size;Status;
2023-02-01 17:05:26;0,3;3292;0,5;2200;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:27;0,3;3288;0,5;2372;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:28;0,3;3262;0,5;2396;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:29;0,3;3198;0,5;2453;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:30;0,3;3263;0,5;2416;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:31;0,3;3244;0,5;2482;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:32;0,3;3449;0,5;2437;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:33;0,3;3439;0,5;2398;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:34;0,3;3219;0,5;2306;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:35;0,3;3223;0,5;2328;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:36;0,3;3483;0,5;2453;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:37;0,3;3389;0,5;2388;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:38;0,3;3359;0,5;2352;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:39;0,3;3155;0,5;2320;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:40;0,3;3388;0,5;2429;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:41;0,3;3431;0,5;2366;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:42;0,3;3400;0,5;2389;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:43;0,3;3399;0,5;2486;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:44;0,3;3450;0,5;2523;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:45;0,3;3449;0,5;2694;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:46;0,3;3284;0,5;2383;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:47;0,3;3489;0,5;2546;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:48;0,3;3511;0,5;2532;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:49;0,3;3329;0,5;2437;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:50;0,3;3482;0,5;2519;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:51;0,3;3380;0,5;2369;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:52;0,3;3312;0,5;2401;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:53;0,3;3428;0,5;2423;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:54;0,3;3269;0,5;2510;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:55;0,3;3327;0,5;2452;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:56;0,3;3389;0,5;2380;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:57;0,3;3299;0,5;2408;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:58;0,3;3422;0,5;2385;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:59;0,3;3339;0,5;2443;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:00;0,3;3352;0,5;2448;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:01;0,3;3453;0,5;2475;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:02;0,3;3500;0,5;2442;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:03;0,3;3436;0,5;2485;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:04;0,3;3451;0,5;2478;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:05;0,3;3425;0,5;2493;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:06;0,3;3205;0,5;2239;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:07;0,3;3341;0,5;2365;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:08;0,3;3692;0,5;2703;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:09;0,3;3333;0,5;2536;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:10;0,3;3393;0,5;2525;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:11;0,3;3525;0,5;2501;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:12;0,3;3230;0,5;2418;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:13;0,3;3360;0,5;2387;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:14;0,3;3428;0,5;2517;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:15;0,3;3264;0,5;2440;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:16;0,3;3311;0,5;2559;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:17;0,3;3121;0,5;2285;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:18;0,3;3181;0,5;2453;1;2;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:19;0,3;3252;0,5;2406;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:20;0,3;3331;0,5;2257;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:21;0,3;3385;0,5;2403;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:22;0,3;3359;0,5;2373;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:23;0,3;3339;0,5;2462;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:24;0,3;3250;0,5;2348;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:25;0,3;3453;0,5;2529;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:26;0,3;3513;0,5;2639;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:27;0,3;3463;0,5;2481;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:28;0,3;3233;0,5;2344;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:29;0,3;3354;0,5;2464;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:30;0,3;3298;0,5;2344;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:31;0,3;3268;0,5;2420;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:32;0,3;3431;0,5;2391;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:33;0,3;3376;0,5;2356;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:34;0,3;3369;0,5;2337;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:35;0,3;3694;0,5;2697;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:36;0,3;3476;0,5;2433;1;1;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:37;0,3;3258;0,5;2285;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:38;0,3;3073;0,5;2236;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:39;0,3;3138;0,5;2427;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:06:40;0,3;3378;0,5;2480;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
